FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;SEX;Sesso;AGE;Età;STEREOT_GENDROLEPARTNER;Stereotipi sui ruoli di genere, comportamenti nella coppia;DEGREE_AGREEMENT;Grado di accordo;TIME_PERIOD;Osservazione;OBS_STATUS
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y18-29;18-29 anni;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;SOMDISAG;"'Poco d""'accordo'";2018;24.4;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y18-29;18-29 anni;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;STRODIS;"'Per niente d""'accordo'";2018;52.4;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y18-29;18-29 anni;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;NOANSW;Non risponde;2018;0.1;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y18-29;18-29 anni;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y18-29;18-29 anni;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;STRAGR;"'Molto d""'accordo'";2018;8;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y18-29;18-29 anni;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;SOMAGR;"'Abbastanza d""'accordo'";2018;20.7;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y18-29;18-29 anni;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;SOMDISAG;"'Poco d""'accordo'";2018;19.3;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y18-29;18-29 anni;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;STRODIS;"'Per niente d""'accordo'";2018;51.8;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y18-29;18-29 anni;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;NOANSW;Non risponde;2018;0.3;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y18-29;18-29 anni;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;STRAGR;"'Molto d""'accordo'";2018;4.1;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;SOMAGR;"'Abbastanza d""'accordo'";2018;12;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;SOMDISAG;"'Poco d""'accordo'";2018;11.9;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;STRODIS;"'Per niente d""'accordo'";2018;71.6;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;NOANSW;Non risponde;2018;0.3;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";STRAGR;"'Molto d""'accordo'";2018;5.6;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";SOMAGR;"'Abbastanza d""'accordo'";2018;18.2;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";SOMDISAG;"'Poco d""'accordo'";2018;19.5;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";STRODIS;"'Per niente d""'accordo'";2018;56.4;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";NOANSW;Non risponde;2018;0.3;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";STRAGR;"'Molto d""'accordo'";2018;2;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";SOMAGR;"'Abbastanza d""'accordo'";2018;4.3;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";SOMDISAG;"'Poco d""'accordo'";2018;10.1;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";STRODIS;"'Per niente d""'accordo'";2018;83.4;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";NOANSW;Non risponde;2018;0.2;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;STRAGR;"'Molto d""'accordo'";2018;10.7;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;SOMAGR;"'Abbastanza d""'accordo'";2018;19;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;SOMDISAG;"'Poco d""'accordo'";2018;20.5;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;STRODIS;"'Per niente d""'accordo'";2018;49.4;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;NOANSW;Non risponde;2018;0.4;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;STRAGR;"'Molto d""'accordo'";2018;10.4;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;SOMAGR;"'Abbastanza d""'accordo'";2018;26.2;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;SOMDISAG;"'Poco d""'accordo'";2018;18;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;STRODIS;"'Per niente d""'accordo'";2018;45;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;NOANSW;Non risponde;2018;0.4;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y30-44;30-44 anni;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;STRAGR;"'Molto d""'accordo'";2018;4.8;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;SOMAGR;"'Abbastanza d""'accordo'";2018;11.3;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;SOMDISAG;"'Poco d""'accordo'";2018;12.9;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;STRODIS;"'Per niente d""'accordo'";2018;70.7;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;NOANSW;Non risponde;2018;0.4;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";STRAGR;"'Molto d""'accordo'";2018;7.2;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";SOMAGR;"'Abbastanza d""'accordo'";2018;15.1;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";SOMDISAG;"'Poco d""'accordo'";2018;15.6;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";STRODIS;"'Per niente d""'accordo'";2018;61.6;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";NOANSW;Non risponde;2018;0.5;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";STRAGR;"'Molto d""'accordo'";2018;2.2;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";SOMAGR;"'Abbastanza d""'accordo'";2018;3.8;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";SOMDISAG;"'Poco d""'accordo'";2018;8;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";STRODIS;"'Per niente d""'accordo'";2018;85.6;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";NOANSW;Non risponde;2018;0.4;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;STRAGR;"'Molto d""'accordo'";2018;11.2;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;SOMAGR;"'Abbastanza d""'accordo'";2018;21;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;SOMDISAG;"'Poco d""'accordo'";2018;18.2;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;STRODIS;"'Per niente d""'accordo'";2018;49.1;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;NOANSW;Non risponde;2018;0.5;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;STRAGR;"'Molto d""'accordo'";2018;10.8;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;SOMAGR;"'Abbastanza d""'accordo'";2018;25;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;SOMDISAG;"'Poco d""'accordo'";2018;12.6;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;STRODIS;"'Per niente d""'accordo'";2018;50.4;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;NOANSW;Non risponde;2018;1.3;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y45-59;45-59 anni;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y60-74;60-74 anni;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;STRAGR;"'Molto d""'accordo'";2018;7;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y60-74;60-74 anni;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;SOMAGR;"'Abbastanza d""'accordo'";2018;13.6;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y60-74;60-74 anni;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;SOMDISAG;"'Poco d""'accordo'";2018;12.2;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y60-74;60-74 anni;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;STRODIS;"'Per niente d""'accordo'";2018;65.2;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y60-74;60-74 anni;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;NOANSW;Non risponde;2018;1.9;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y60-74;60-74 anni;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y60-74;60-74 anni;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";STRAGR;"'Molto d""'accordo'";2018;11.5;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y60-74;60-74 anni;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";SOMAGR;"'Abbastanza d""'accordo'";2018;21;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y60-74;60-74 anni;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";SOMDISAG;"'Poco d""'accordo'";2018;14.6;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y60-74;60-74 anni;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";STRODIS;"'Per niente d""'accordo'";2018;51.6;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y60-74;60-74 anni;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";NOANSW;Non risponde;2018;1.3;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y60-74;60-74 anni;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y60-74;60-74 anni;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";STRAGR;"'Molto d""'accordo'";2018;4.3;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y60-74;60-74 anni;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";SOMAGR;"'Abbastanza d""'accordo'";2018;6.4;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;Y60-74;60-74 anni;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";SOMDISAG;"'Poco d""'accordo'";2018;8.4;
